UTCTime,Time,RelTime,ActSatId,ActBeam [1-16],ActGain,ActSNR,FiltSNR,gnId,fwdChan,revChan,satAz,satElev,satGeoSep
00:00:50,,50000,370,4,20.97544894,8.99660536,9.562716825,127,5,1,131.0826626,69.62651999,29.26412836
00:00:51,,51000,370,4,19.8931525,8.263183788,9.432763521,127,5,1,131.7726625,69.41633968,28.94811106
00:00:52,,52000,370,3,19.96811578,8.308534407,9.32034061,127,4,4,132.4477651,69.20388851,28.63272029
00:00:53,,53000,370,3,21.01068468,9.000110581,9.288317607,127,4,4,133.1082715,68.98927435,28.31796969
00:00:54,,54000,370,3,21.83229818,9.504269947,9.309912841,127,4,4,133.754487,68.77260011,28.00387091
00:00:55,,55000,370,3,22.44926674,9.857454051,9.364666962,127,4,4,134.3867114,68.5539669,27.69043781
00:00:56,,56000,370,3,22.84663783,10.07178926,9.435379192,127,4,4,135.0052524,68.33347314,27.37768271
00:00:57,,57000,370,3,23.03119275,10.16525099,9.508366372,127,4,4,135.6104135,68.11121357,27.06561796
00:00:58,,58000,370,3,23.00836998,10.14708028,9.572237762,127,4,4,136.2024976,67.88728014,26.75425564
00:00:59,,59000,370,3,22.78693088,10.02087697,9.617101683,127,4,4,136.7818063,67.6617621,26.44360762
00:01:00,,60000,370,3,22.35282839,9.770682441,9.632459759,127,4,4,137.348638,67.43474598,26.13368575
00:01:01,,61000,370,3,21.71874818,9.388325566,9.60804634,127,4,4,137.9032902,67.20631578,25.82450141
00:01:02,,62000,370,3,20.90421921,8.865826523,9.533824358,127,4,4,138.4460489,66.9765515,25.51606634
00:01:03,,63000,370,3,19.87082017,8.154187896,9.395860712,127,4,4,138.9772059,66.74553178,25.208391
00:01:04,,64000,370,2,20.22063119,8.389806248,9.295255265,127,3,3,139.4970438,66.51333254,24.90148651
00:01:05,,65000,370,2,21.13849446,8.993786622,9.265108401,127,3,3,140.005842,66.28002686,24.59536322
00:01:06,,66000,370,2,21.85202964,9.431770798,9.281774641,127,3,3,140.5038729,66.04568612,24.29003224
00:01:07,,67000,370,2,22.36631562,9.728606922,9.326457869,127,3,3,140.9914051,65.81037836,23.98550339
00:01:08,,68000,370,2,22.70414702,9.913345513,9.385146633,127,3,3,141.468706,65.57417068,23.68178652
00:01:09,,69000,370,2,22.85644673,9.990598276,9.445691797,127,3,3,141.9360281,65.33712531,23.37889106
00:01:10,,70000,370,2,22.82950971,9.968242131,9.497946831,127,3,3,142.3936254,65.09930544,23.07682729
00:01:11,,71000,370,2,22.636202,9.852328037,9.533384951,127,3,3,142.841746,64.86077065,22.77560411
00:01:12,,72000,370,2,22.27416689,9.635636842,9.54361014,127,3,3,143.2806319,64.62157911,22.47523081
00:01:13,,73000,370,2,21.74605402,9.309248771,9.520174004,127,3,3,143.7105171,64.38178558,22.17571566
00:01:14,,74000,369,13,21.12192521,8.905373392,9.458693942,127,6,2,27.32567463,64.37485897,64.9386277
00:01:15,,75000,369,13,21.95916301,9.440957341,9.456920282,127,6,2,27.67875925,64.63311992,64.64893046
00:01:16,,76000,369,13,22.60723984,9.830061452,9.494234399,127,6,2,28.03981917,64.89132971,64.35813071
00:01:17,,77000,369,13,23.0546853,10.08669351,9.55348031,127,6,2,28.40910521,65.14944473,64.06623887
